﻿にげます,"chạy trốn, bỏ chạy"
さわぎます,"làm ồn, làm rùm beng"
あきらめます,"bỏ cuộc, từ bỏ"
なげます,"ném"
まもります,"giữ (lời hứa), tuân thủ (quy tắc)"
[しきが〜]はじまります,"bắt đầu [lễ ~]"
[かいぎに〜]しゅっせきします,"dự [họp]"
つたえます,"nói lại, truyền đạt lại"
[くるまに～]ちゅういします,"chú ý [ô tô]"
[せきを～]はずします,"rời [ghế]"
もどります,"trở lại, quay trở lại"
[でんわが〜]あります,"có [điện thoại]"
リサイクルします,"tái chế"
だめ「な」,"không được"
おなじ,"giống"
けいさつ,"cảnh sát, sở cảnh sát"
せき,"ghế, chỗ (ngồi)"
マーク,"ký hiệu"
ボール,"quả bóng"
しめきり,"hạn chót, hạn cuối"
きそく,"quy tắc, kỷ luật"
きけん,"nguy hiểm"
しようきんし,"cấm sử dụng"
たちいりきんし,"cấm vào"
じょこう,"chạy chậm, đi chậm"
いりぐち,"lối vào"
でぐち,"lối ra"
ひじょうぐち,"cửa thoát hiểm"
むりょう,"miễn phí"
わりびき,"giảm giá"
のみほうだい,"uống thoải mái không giới hạn (uống bao nhiêu đi nữa giá tiền cũng không đổi)"
しようちゅう,"đang sử dụng"
ぼしゅうちゅう,"đang tuyển"
～ちゅう,"đang ~"
どういう～,"~ như thế nào"
いくら[〜でも],"[dù có] ~ bao nhiêu đi nữa"
もう,"nữa (dùng với thể phủ định)"
あと～,"còn ~"
〜ほど,"khoảng ~"
ちゅうしゃいはん,"đỗ xe sai quy định"
ばっきん,"tiền phạt"
じしん,"động đất"
おきます,"xảy ra"
たすけあいます,"giúp đỡ lẫn nhau"
もともと,"vốn là, nguyên nhân là"
かなしい,"buồn"
もっと,"hơn"
あいさつ,"chào hỏi (〜をします: chào)"
あいて,"đối phương, hôn phu, hôn thê"
きもち,"tâm trạng"
ファイト,""quyết chiến", "cố lên""
せんたくき,"máy giặt"
ほんじつきゅうぎょう,"hôm nay đóng cửa, hôm nay nghỉ"
えいぎょうちゅう,"đang mở cửa"
そりゃあ,"thế thì, ồ"
～いない,"trong khoảng ~, trong vòng ~"
でんぽう,"bức điện, điện báo"
でんぽうだい,"tiền cước điện báo"
きゅうよう,"việc gấp, việc khẩn"
みじかく,"ngắn gọn, đơn giản (phó từ)"
キトク,"tình trạng hiểm nghèo"
おもいびょうき,"bệnh nặng"
あす,"ngày mai (khác với あした)"
るす,"vắng nhà"
るすばん,"trông nhà, giữ nhà"
「お」いわい,"việc mừng, vật mừng"
なくなります,"chết, mất"
かなしみ,"buồn (danh từ)"
りようします,"sử dụng, lợi dụng, tận dụng, dùng"
[でんぽうを~]うちます,"gửi [bức điện]"
あげます,"nâng, nâng lên, tăng lên"
さげます,"hạ, hạ xuống, giảm xuống"
ひとびと,"người, những người"
